S&P/ASX 300 Index (1 May 2020),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
ABP,Abacus Property Group,Real Estate,"1,653,360,000",0.1,,"1,681,406,522,300",
AX1,Accent Group Ltd,Consumer Discretionary,"639,757,000",0.04,,,
ABC,Adelaide Brighton Ltd,Materials,"1,780,690,000",0.11,,Sector Breakdown,
APT,Afterpay Ltd,Information Technology,"8,329,580,000",0.5,,Consumer Discretionary,6.89
AGL,AGL Energy Ltd,Utilities,"10,669,800,000",0.63,,Consumer Staples,6.52
AQG,Alacer Gold Corp,Materials,"499,400,000",0.03,,Energy,4.43
ALQ,Als Ltd,Industrials,"3,285,320,000",0.2,,Financials,24.55
ALU,Altium Ltd,Information Technology,"4,472,480,000",0.27,,Health Care,13.18
AWC,Alumina Ltd,Materials,"4,996,530,000",0.3,,Industrials,8.47
AMA,AMA Group Ltd,Industrials,"310,892,000",0.02,,Information Technology,3.59
AYS,Amaysim Australia Ltd,Telecommunication Services,"92,959,800",0.01,,Materials,18.88
AMC,Amcor Plc,Materials,"13,811,000,000",0.82,,Real Estate,6.8
AMP,AMP Ltd,Financials,"4,914,340,000",0.29,,Telecommunication Services,2.57
ANN,Ansell Ltd,Health Care,"3,678,590,000",0.22,,Utilities,2.04
APE,AP Eagers Ltd,Consumer Discretionary,"1,320,640,000",0.08,,,
APA,APA Group,Utilities,"12,884,400,000",0.77,,,
ADI,Apn Industria REIT,Real Estate,"411,072,000",0.02,,,
APX,Appen Ltd,Information Technology,"3,142,190,000",0.19,,,
ARB,ARB Corporation Ltd,Consumer Discretionary,"1,215,820,000",0.07,,,
ALG,Ardent Leisure Group Ltd,Consumer Discretionary,"175,093,000",0.01,,,
ARF,Arena REIT,Real Estate,"680,175,000",0.04,,,
ALL,Aristocrat Leisure Ltd,Consumer Discretionary,"16,276,500,000",0.97,,,
AHY,Asaleo Care Ltd,Consumer Staples,"559,416,000",0.03,,,
ASX,ASX Ltd,Financials,"15,787,700,000",0.94,,,
ALX,Atlas Arteria,Industrials,"5,494,870,000",0.33,,,
AUB,AUB Group Ltd,Financials,"861,465,000",0.05,,,
AIA,Auckland International Airport Ltd,Industrials,"8,206,090,000",0.49,,,
AD8,Audinate Group Ltd,Information Technology,"413,027,000",0.02,,,
AMI,Aurelia Metals Ltd,Materials,"288,415,000",0.02,,,
AZJ,Aurizon Holdings Ltd,Industrials,"8,988,810,000",0.53,,,
AST,Ausnet Services Ltd,Utilities,"6,987,830,000",0.42,,,
ASB,Austal Ltd,Industrials,"1,197,970,000",0.07,,,
ANZ,Australia and New Zealand Banking Group Ltd,Financials,"47,931,400,000",2.85,,,
AAC,Australian Agricultural Company Ltd,Consumer Staples,"699,209,000",0.04,,,
API,Australian Pharmaceutical Industries Ltd,Health Care,"576,408,000",0.03,,,
AVN,Aventus Group,Real Estate,"952,671,000",0.06,,,
AVH,Avita Medical Ltd,Health Care,"992,047,000",0.06,,,
BBN,Baby Bunting Group Ltd,Consumer Discretionary,"348,251,000",0.02,,,
BOQ,Bank of Queensland Ltd,Financials,"2,367,090,000",0.14,,,
BAP,Bapcor Ltd,Consumer Discretionary,"1,613,650,000",0.1,,,
BPT,Beach Energy Ltd,Energy,"3,466,830,000",0.21,,,
BGA,Bega Cheese Ltd,Consumer Staples,"1,037,880,000",0.06,,,
BGL,Bellevue Gold Ltd,Materials,"388,769,000",0.02,,,
BEN,Bendigo and Adelaide Bank Ltd,Financials,"3,465,850,000",0.21,,,
BHP,BHP Group Ltd,Materials,"95,298,300,000",5.67,,,
BIN,Bingo Industries Ltd,Industrials,"1,536,460,000",0.09,,,
BKL,Blackmores Ltd,Consumer Staples,"1,318,900,000",0.08,,,
BSL,Bluescope Steel Ltd,Materials,"5,151,990,000",0.31,,,
BLD,Boral Ltd,Materials,"3,701,470,000",0.22,,,
BXB,Brambles Ltd,Industrials,"16,869,000,000",1,,,
BVS,Bravura Solutions Ltd,Information Technology,"1,187,510,000",0.07,,,
BRG,Breville Group Ltd,Consumer Discretionary,"2,290,290,000",0.14,,,
BKW,Brickworks Ltd,Materials,"2,046,650,000",0.12,,,
BUB,Bubs Australia Ltd,Consumer Staples,"504,266,000",0.03,,,
BWP,BWP Trust,Real Estate,"2,267,610,000",0.13,,,
BWX,BWX Ltd,Consumer Staples,"448,542,000",0.03,,,
CTX,Caltex Australia Ltd,Energy,"6,222,700,000",0.37,,,
CDD,Cardno Ltd,Industrials,"111,754,000",0.01,,,
CVN,Carnarvon Petroleum Ltd,Energy,"297,232,000",0.02,,,
CAR,Carsales.com Ltd,Communication Services,"3,484,940,000",0.21,,,
CWP,Cedar Woods Properties Ltd,Real Estate,"341,903,000",0.02,,,
CNI,Centuria Capital Group,Financials,"777,674,000",0.05,,,
CIP,Centuria Industrial REIT,Real Estate,"1,052,300,000",0.06,,,
COF,Centuria Office REIT,Real Estate,"998,174,000",0.06,,,
CGF,Challenger Ltd,Financials,"3,037,010,000",0.18,,,
CIA,Champion Iron Ltd,Materials,"941,977,000",0.06,,,
CHC,Charter Hall Group,Real Estate,"3,563,200,000",0.21,,,
CLW,Charter Hall Long Wale REIT,Real Estate,"2,185,930,000",0.13,,,
CQR,Charter Hall Retail REIT,Real Estate,"1,477,410,000",0.09,,,
CQE,Charter Hall Social Infrastructure REIT,Real Estate,"740,279,000",0.04,,,
CNU,Chorus Ltd,,"2,942,530,000",0.18,,,
CIM,Cimic Group Ltd,Industrials,"7,860,360,000",0.47,,,
CWY,Cleanaway Waste Management Ltd,Industrials,"3,840,880,000",0.23,,,
CUV,Clinuvel Pharmaceuticals Ltd,Health Care,"1,088,510,000",0.06,,,
CCL,Coca-Cola Amatil Ltd,Consumer Staples,"6,284,320,000",0.37,,,
COH,Cochlear Ltd,Health Care,"11,829,400,000",0.7,,,
CDA,Codan Ltd,Information Technology,"1,177,150,000",0.07,,,
COL,Coles Group Ltd,Consumer Staples,"20,689,300,000",1.23,,,
CKF,Collins Foods Ltd,Consumer Discretionary,"858,038,000",0.05,,,
CBA,Commonwealth Bank of Australia,Financials,"110,976,000,000",6.6,,,
CPU,Computershare Ltd,Information Technology,"6,587,910,000",0.39,,,
COE,Cooper Energy Ltd,Energy,"699,458,000",0.04,,,
CTD,Corporate Travel Management Ltd,Consumer Discretionary,"1,384,310,000",0.08,,,
CGC,Costa Group Holdings Ltd,Consumer Staples,"1,158,400,000",0.07,,,
CCP,Credit Corp Group Ltd,Financials,"908,895,000",0.05,,,
CMW,Cromwell Property Group,Real Estate,"2,051,100,000",0.12,,,
CWN,Crown Resorts Ltd,Consumer Discretionary,"6,697,100,000",0.4,,,
CSL,CSL Ltd,Health Care,"140,501,000,000",8.36,,,
CSR,CSR Ltd,Materials,"1,810,480,000",0.11,,,
DCN,Dacian Gold Ltd,Materials,"166,769,000",0.01,,,
DTL,Data#3 Ltd,Information Technology,"600,502,000",0.04,,,
DXS,Dexus,Real Estate,"9,995,410,000",0.59,,,
DHG,Domain Holdings Australia Ltd,Communication Services,"1,530,770,000",0.09,,,
DMP,Domino's PIZZA Enterprises Ltd,Consumer Discretionary,"5,006,130,000",0.3,,,
DOW,Downer Edi Ltd,Industrials,"2,479,910,000",0.15,,,
ECX,Eclipx Group Ltd,Financials,"231,737,000",0.01,,,
ELD,Elders Ltd,Consumer Staples,"1,349,690,000",0.08,,,
EHL,Emeco Holdings Ltd,Industrials,"431,205,000",0.03,,,
EML,EML Payments Ltd,Information Technology,"997,077,000",0.06,,,
EHE,Estia Health Ltd,Health Care,"393,214,000",0.02,,,
A2M,The a2 Milk Company Ltd,Consumer Staples,"13,479,700,000",0.8,,,
EVN,Evolution Mining Ltd,Materials,"8,709,560,000",0.52,,,
FAR,FAR Ltd,Energy,"169,640,000",0.01,,,
FBU,Fletcher Building Ltd,Materials,"2,868,410,000",0.17,,,
FLT,Flight Centre Travel Group Ltd,Consumer Discretionary,"1,974,480,000",0.12,,,
FMG,Fortescue Metals Group Ltd,Materials,"36,824,400,000",2.19,,,
FNP,Freedom Foods Group Ltd,Consumer Staples,"1,195,990,000",0.07,,,
FPH,Fisher & Paykel Healthcare Corporation Ltd,Health Care,"14,537,900,000",0.86,,,
FXL,Flexigroup Ltd,Financials,"358,896,000",0.02,,,
GDI,GDI Property Group,Real Estate,"566,733,000",0.03,,,
GEM,G8 Education Ltd,Consumer Discretionary,"653,361,000",0.04,,,
GMA,Genworth Mortgage Insurance Australia Ltd,Financials,"878,655,000",0.05,,,
GMG,Goodman Group,Real Estate,"24,043,600,000",1.43,,,
GNC,Graincorp Ltd,Consumer Staples,"810,149,000",0.05,,,
GOR,Gold Road Resources Ltd,Materials,"1,420,740,000",0.08,,,
GOZ,Growthpoint Properties Australia,Real Estate,"2,384,800,000",0.14,,,
GPT,GPT Group,Real Estate,"8,239,740,000",0.49,,,
GUD,G.U.D. Holdings Ltd,Consumer Discretionary,"795,917,000",0.05,,,
GWA,GWA Group Ltd,Industrials,"731,135,000",0.04,,,
GXY,Galaxy Resources Ltd,Materials,"313,252,000",0.02,,,
HLS,Healius Ltd,Health Care,"1,612,900,000",0.1,,,
HPI,Hotel Property Investments,Real Estate,"384,764,000",0.02,,,
HSN,Hansen Technologies Ltd,Information Technology,"556,920,000",0.03,,,
HT1,HT&E Ltd,Communication Services,"316,223,000",0.02,,,
HUB,HUB24 Ltd,Financials,"614,007,000",0.04,,,
HVN,Harvey Norman Holdings Ltd,Consumer Discretionary,"3,463,900,000",0.21,,,
IAG,Insurance Australia Group Ltd,Financials,"13,357,800,000",0.79,,,
IAP,Investec Australia Property Fund,Real Estate,"660,202,000",0.04,,,
IEL,Idp Education Ltd,Consumer Discretionary,"4,095,000,000",0.24,,,
IFL,IOOF Holdings Ltd,Financials,"1,516,650,000",0.09,,,
IFM,Infomedia Ltd,Information Technology,"589,713,000",0.04,,,
IFN,Infigen Energy,Utilities,"572,712,000",0.03,,,
IGL,Ive Group Ltd,Communication Services,"100,040,000",0.01,,,
IGO,IGO Ltd,Materials,"2,800,380,000",0.17,,,
ILU,Iluka Resources Ltd,Materials,"3,246,870,000",0.19,,,
IMD,IMDEX Ltd,Materials,"415,221,000",0.02,,,
INA,Ingenia Communities Group,Real Estate,"1,010,980,000",0.06,,,
ING,Inghams Group Ltd,Consumer Staples,"1,300,880,000",0.08,,,
INR,Ioneer Ltd,Materials,"226,784,000",0.01,,,
IPH,IPH Ltd,Industrials,"1,586,530,000",0.09,,,
IPL,Incitec Pivot Ltd,Materials,"3,856,130,000",0.23,,,
IRE,Iress Ltd,Information Technology,"1,996,730,000",0.12,,,
IRI,Integrated Research Ltd,Information Technology,"541,361,000",0.03,,,
ISX,Isignthis Ltd,Information Technology,"1,172,140,000",0.07,,,
ITG,Intega Group Ltd,Industrials,"120,222,000",0.01,,,
IVC,Invocare Ltd,Consumer Discretionary,"1,402,350,000",0.08,,,
JBH,JB Hi-Fi Ltd,Consumer Discretionary,"4,039,300,000",0.24,,,
JHC,Japara Healthcare Ltd,Health Care,"133,624,000",0.01,,,
JHG,Janus Henderson Group Plc,Financials,"999,042,000",0.06,,,
JHX,James Hardie Industries Plc,Materials,"9,935,300,000",0.59,,,
JIN,Jumbo Interactive Ltd,Consumer Discretionary,"760,321,000",0.05,,,
JMS,Jupiter Mines Ltd,Materials,"528,928,000",0.03,,,
KAR,Karoon Energy Ltd,Energy,"304,142,000",0.02,,,
KGN,Kogan.com Ltd,Consumer Discretionary,"757,437,000",0.05,,,
LIC,Lifestyle Communities Ltd,Real Estate,"776,770,000",0.05,,,
LLC,Lendlease Group,Real Estate,"6,980,840,000",0.42,,,
LNK,Link Administration Holdings Ltd,Information Technology,"2,009,940,000",0.12,,,
LOV,Lovisa Holdings Ltd,Consumer Discretionary,"803,798,000",0.05,,,
LYC,Lynas Corporation Ltd,Materials,"1,216,930,000",0.07,,,
MAH,Macmahon Holdings Ltd,Materials,"474,097,000",0.03,,,
MFG,Magellan Financial Group Ltd,Financials,"9,299,940,000",0.55,,,
MGR,Mirvac Group,Real Estate,"8,812,030,000",0.52,,,
MGX,Mount Gibson Iron Ltd,Materials,"735,128,000",0.04,,,
MIN,Mineral Resources Ltd,Materials,"3,162,520,000",0.19,,,
MLD,Maca Ltd,Materials,"196,986,000",0.01,,,
MMS,Mcmillan Shakespeare Ltd,Industrials,"516,132,000",0.03,,,
MND,Monadelphous Group Ltd,Industrials,"1,067,740,000",0.06,,,
MNY,MONEY3 Corporation Ltd,Financials,"294,603,000",0.02,,,
MP1,Megaport Ltd,Information Technology,"1,805,820,000",0.11,,,
MPL,Medibank Private Ltd,Financials,"7,435,810,000",0.44,,,
MQG,Macquarie Group Ltd,Financials,"36,380,800,000",2.16,,,
MSB,Mesoblast Ltd,Health Care,"1,805,240,000",0.11,,,
MTS,Metcash Ltd,Consumer Staples,"2,530,830,000",0.15,,,
MVF,Monash Ivf Group Ltd,Health Care,"140,293,000",0.01,,,
MYR,Myer Holdings Ltd,Consumer Discretionary,"164,256,000",0.01,,,
MYS,Mystate Ltd,Financials,"361,595,000",0.02,,,
MYX,Mayne Pharma Group Ltd,Health Care,"696,813,000",0.04,,,
NAB,National Australia Bank Ltd,Financials,"50,611,200,000",3.01,,,
NAN,Nanosonics Ltd,Health Care,"2,076,760,000",0.12,,,
NCK,Nick Scali Ltd,Consumer Discretionary,"376,650,000",0.02,,,
NCM,Newcrest Mining Ltd,Materials,"21,183,700,000",1.26,,,
NCZ,New Century Resources Ltd,Materials,"128,686,000",0.01,,,
NEA,Nearmap Ltd,Information Technology,"689,998,000",0.04,,,
NEC,Nine Entertainment Co. Holdings Ltd,Communication Services,"2,430,190,000",0.14,,,
NGI,Navigator Global Investments Ltd,Financials,"210,792,000",0.01,,,
NHC,New Hope Corporation Ltd,Energy,"1,284,990,000",0.08,,,
NHF,Nib Holdings Ltd,Financials,"2,247,550,000",0.13,,,
NIC,Nickel Mines Ltd,Materials,"761,818,000",0.05,,,
NSR,National Storage REIT,Real Estate,"1,373,890,000",0.08,,,
NST,Northern Star Resources Ltd,Materials,"9,465,220,000",0.56,,,
NUF,Nufarm Ltd,Materials,"1,997,190,000",0.12,,,
NWH,NRW Holdings Ltd,Industrials,"727,499,000",0.04,,,
NWL,Netwealth Group Ltd,Financials,"1,804,110,000",0.11,,,
NWS,News Corporation,Communication Services,"831,242,000",0.05,,,
NXT,NEXTDC Ltd,Information Technology,"3,819,830,000",0.23,,,
OBL,Omni Bridgeway Ltd,Financials,"1,004,460,000",0.06,,,
OFX,OFX Group Ltd,Financials,"297,623,000",0.02,,,
OGC,Oceanagold Corporation,Materials,"175,775,000",0.01,,,
OML,Ooh!Media Ltd,Communication Services,"612,501,000",0.04,,,
ORA,Orora Ltd,Materials,"3,101,180,000",0.18,,,
ORE,Orocobre Ltd,Materials,"631,770,000",0.04,,,
ORG,Origin Energy Ltd,Energy,"9,792,330,000",0.58,,,
ORI,Orica Ltd,Materials,"7,268,980,000",0.43,,,
OSH,Oil Search Ltd,Energy,"6,218,890,000",0.37,,,
OZL,OZ Minerals Ltd,Materials,"2,907,970,000",0.17,,,
PDL,Pendal Group Ltd,Financials,"1,781,870,000",0.11,,,
PDN,Paladin Energy Ltd,Energy,"212,929,000",0.01,,,
PET,Phoslock Environmental Technologies Ltd,Industrials,"315,111,000",0.02,,,
PGH,Pact Group Holdings Ltd,Materials,"658,748,000",0.04,,,
PLS,Pilbara Minerals Ltd,Materials,"489,215,000",0.03,,,
PME,Pro Medicus Ltd,Health Care,"2,719,250,000",0.16,,,
PMV,Premier Investments Ltd,Consumer Discretionary,"2,464,280,000",0.15,,,
PNI,Pinnacle Investment Management Group Ltd,Financials,"736,851,000",0.04,,,
PNV,Polynovo Ltd,Health Care,"1,434,560,000",0.09,,,
PPT,Perpetual Ltd,Financials,"1,414,360,000",0.08,,,
PRN,Perenti Global Ltd,Materials,"625,950,000",0.04,,,
PRU,Perseus Mining Ltd,Materials,"1,127,170,000",0.07,,,
PTM,Platinum Asset Management Ltd,Financials,"2,047,510,000",0.12,,,
QAN,Qantas Airways Ltd,Industrials,"5,754,460,000",0.34,,,
QBE,QBE Insurance Group Ltd,Financials,"12,311,900,000",0.73,,,
QUB,QUBE Holdings Ltd,Industrials,"3,596,210,000",0.21,,,
RDC,Redcape Hotel Group,Consumer Discretionary,"342,361,000",0.02,,,
REA,REA Group Ltd,Communication Services,"11,726,600,000",0.7,,,
REG,Regis Healthcare Ltd,Health Care,"451,123,000",0.03,,,
RFF,Rural Funds Group,Real Estate,"653,433,000",0.04,,,
RHC,Ramsay Health Care Ltd,Health Care,"13,994,000,000",0.83,,,
RIO,RIO Tinto Ltd,Materials,"32,485,100,000",1.93,,,
RMD,Resmed Inc,Health Care,"8,705,120,000",0.52,,,
RMS,Ramelius Resources Ltd,Materials,"1,035,200,000",0.06,,,
RRL,Regis Resources Ltd,Materials,"2,286,810,000",0.14,,,
RSG,Resolute Mining Ltd,Materials,"1,034,850,000",0.06,,,
RWC,Reliance Worldwide Corporation Ltd,Industrials,"2,156,960,000",0.13,,,
S32,SOUTH32 Ltd,Materials,"9,619,840,000",0.57,,,
SAR,Saracen Mineral Holdings Ltd,Materials,"4,786,550,000",0.28,,,
SBM,ST Barbara Ltd,Materials,"1,821,020,000",0.11,,,
SCG,Scentre Group,Real Estate,"12,093,600,000",0.72,,,
SCP,Shopping Centres Australasia Property Group,Real Estate,"2,359,000,000",0.14,,,
SDA,Speedcast International Ltd,,"189,396,000",0.01,,,
SDF,Steadfast Group Ltd,Financials,"2,650,040,000",0.16,,,
SEK,Seek Ltd,Industrials,"6,129,400,000",0.36,,,
SFR,Sandfire Resources Ltd,Materials,"802,911,000",0.05,,,
SGF,SG Fleet Group Ltd,Industrials,"351,294,000",0.02,,,
SGM,Sims Ltd,Materials,"1,413,590,000",0.08,,,
SGP,Stockland,Real Estate,"6,866,930,000",0.41,,,
SGR,The Star Entertainment Group Ltd,Consumer Discretionary,"2,779,490,000",0.17,,,
SHL,Sonic Healthcare Ltd,Health Care,"12,916,700,000",0.77,,,
SHV,Select Harvests Ltd,Consumer Staples,"695,375,000",0.04,,,
SIG,Sigma Healthcare Ltd,Health Care,"640,911,000",0.04,,,
SIQ,Smartgroup Corporation Ltd,Industrials,"713,043,000",0.04,,,
SKC,Skycity Entertainment Group Ltd,Consumer Discretionary,"1,614,620,000",0.1,,,
SKI,Spark Infrastructure Group,Utilities,"3,254,040,000",0.19,,,
SLC,Superloop Ltd,,"289,034,000",0.02,,,
SLR,Silver Lake Resources Ltd,Materials,"1,715,700,000",0.1,,,
SM1,Synlait Milk Ltd,Consumer Staples,"1,183,430,000",0.07,,,
SOL,Washington H Soul Pattinson & Company Ltd,Energy,"4,438,390,000",0.26,,,
SPK,Spark New Zealand Ltd,,"7,678,850,000",0.46,,,
SPL,Starpharma Holdings Ltd,Health Care,"391,191,000",0.02,,,
SSM,Service Stream Ltd,Industrials,"801,771,000",0.05,,,
STO,Santos Ltd,Energy,"10,290,300,000",0.61,,,
SUL,Super Retail Group Ltd,Consumer Discretionary,"1,254,410,000",0.07,,,
SUN,Suncorp Group Ltd,Financials,"11,588,100,000",0.69,,,
SVW,Seven Group Holdings Ltd,Industrials,"5,195,570,000",0.31,,,
SWM,Seven West Media Ltd,Communication Services,"132,271,000",0.01,,,
SXL,Southern Cross Media Group Ltd,Communication Services,"331,886,000",0.02,,,
SXY,SENEX Energy Ltd,Energy,"313,304,000",0.02,,,
SYD,Sydney Airport,Industrials,"14,236,900,000",0.85,,,
SYR,Syrah Resources Ltd,Materials,"97,421,500",0.01,,,
TAH,Tabcorp Holdings Ltd,Consumer Discretionary,"6,544,040,000",0.39,,,
TCL,Transurban Group,Industrials,"37,744,400,000",2.24,,,
TGR,Tassal Group Ltd,Consumer Staples,"788,377,000",0.05,,,
TLS,Telstra Corporation Ltd,Telecommunication Services,"36,274,600,000",2.16,,,
TNE,Technology One Ltd,Information Technology,"3,027,370,000",0.18,,,
TPM,TPG Telecom Ltd,Telecommunication Services,"6,828,690,000",0.41,,,
TWE,Treasury Wine Estates Ltd,Consumer Staples,"7,316,120,000",0.44,,,
UMG,United Malt Group Ltd,Consumer Staples,"1,083,250,000",0.06,,,
URW,Unibail-Rodamco-Westfield,Real Estate,"1,265,360,000",0.08,,,
VCX,Vicinity Centres,Real Estate,"5,541,060,000",0.33,,,
VEA,Viva Energy Group Ltd,Energy,"2,819,580,000",0.17,,,
VOC,Vocus Group Ltd,,"1,905,150,000",0.11,,,
VRL,Village Roadshow Ltd,Communication Services,"441,163,000",0.03,,,
VRT,Virtus Health Ltd,Health Care,"246,797,000",0.01,,,
VUK,Virgin Money Uk Plc,Financials,"1,514,520,000",0.09,,,
VVR,Viva Energy REIT,Real Estate,"1,881,870,000",0.11,,,
WAF,West African Resources Ltd,Materials,"631,206,000",0.04,,,
WBC,Westpac Banking Corporation,Financials,"58,798,200,000",3.5,,,
WEB,Webjet Ltd,Consumer Discretionary,"1,037,350,000",0.06,,,
WES,Wesfarmers Ltd,Consumer Discretionary,"42,734,400,000",2.54,,,
WGX,Westgold Resources Ltd,Materials,"823,794,000",0.05,,,
WHC,Whitehaven Coal Ltd,Energy,"1,867,400,000",0.11,,,
WOR,Worley Ltd,Energy,"4,683,480,000",0.28,,,
WOW,Woolworths Group Ltd,Consumer Staples,"45,155,400,000",2.69,,,
WPL,Woodside Petroleum Ltd,Energy,"21,425,400,000",1.27,,,
WPP,WPP AUNZ Ltd,Communication Services,"213,038,000",0.01,,,
WSA,Western Areas Ltd,Materials,"597,338,000",0.04,,,
WTC,Wisetech Global Ltd,Information Technology,"5,918,600,000",0.35,,,
XRO,Xero Ltd,Information Technology,"11,285,800,000",0.67,,,
Z1P,ZIP Co Ltd,Financials,"933,031,000",0.06,,,